Index,SMILES,Solvent_str,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
i0027,COCCOC(C)C(C)C,0.44,1438.76,-246.2796193,-947.1185118,2.16E-11,0
i0028,COCCS(C)=O,0.48,1453.29,-243.12493,-918.9022148,4.66E-11,1
i0029,CC(=O)OCC(C)(F)F,0.52,1465.9,-246.7659425,-959.3247501,2.92E-11,0
i0030,FC(F)(F)C1CCCO1,0.44,1471.29,-245.3350031,-910.3396581,1.45E-11,0
i0031,FC(F)(F)COCC(F)(F)F,0.59,1486.33,-244.5498612,-911.1629534,1.69E-11,0
i0032,FC(F)CC1CCCO1,0.52,1458.52,-242.9186469,-897.1115196,1.80E-11,0
i0033,FC1CCCOC1,0.52,1453.6,-250.2109486,-925.301562,2.71E-11,0
i0034,FC1COCO1,0.59,1466.95,-248.3992829,-916.7703268,2.63E-11,0
i0035,FC1COCOC1,0.59,1465.19,-247.1672437,-922.8582418,3.22E-11,1
i0036,FCC1COCO1,0.48,1461.18,-255.1836031,-925.5893682,2.37E-11,0
i0037,FCCC1CCCCO1,0.56,1447.3,-244.6074421,-922.1687589,3.43E-11,1
i0038,N#CC(CO)OC=O,0.41,1468.08,-255.6860761,-968.3422093,1.51E-11,0
i0039,N#CC1CCCOC1,0.48,1447.55,-250.732376,-935.1965162,2.54E-11,0
i0040,N#CC1COC(=O)C1,0.33,1468.89,-260.5214018,-1007.906858,1.91E-11,0
i0041,N#CC1COC(=O)O1,0.56,1481.72,-258.600194,-1005.202015,1.82E-11,0
i0042,N#CC1COC(=O)S1,0.52,1482.98,-255.3543131,-980.2140475,2.88E-11,0
i0043,N#CC1COC(C(F)(F)F)O1,0.48,1485.71,-251.7829436,-939.9517668,1.78E-11,0
i0044,N#CC1COC(CF)O1,0.3,1473.62,-245.5251909,-927.4495661,4.24E-11,1
i0045,N#CC1COCO1,0.56,1463.21,-251.459105,-918.6428823,2.26E-11,0
i0046,N#CCOC1CCCC1,0.56,1446.69,-242.9483975,-904.7903249,2.45E-11,0
i0047,O=C1CCC(F)CO1,0.37,1463.7,-250.9513615,-975.1440468,2.85E-11,0
i0048,O=C1OCC(CO)O1,0.44,1475.14,-255.3236247,-980.2110233,1.12E-11,0
i0049,O=C1OCC(F)CO1,0.52,1479.53,-257.4507846,-997.4615422,2.37E-11,0
i0050,COC(=O)OC(C)C,0.56,1449.46,-245.3120749,-920.7014601,5.56E-11,1
i0051,COCCC(C)N,0.44,1438.95,-239.9575681,-880.1100208,4.14E-11,1
i0052,O=C1OCC(C(F)F)O1,0.44,1491.56,-252.0607171,-982.8710977,2.29E-11,0
i0053,CCC(C)C(F)(F)F,0.59,1453.38,-243.2338003,-950.5457025,2.39E-11,0
i0054,CCCOS(=O)OC,0.41,1461.19,-252.235936,-991.1262344,2.49E-11,0
i0055,CCCSC#N,0.33,1448.71,-254.603247,-941.0195242,3.15E-11,0
i0056,C=COCC,0.67,1432.35,-242.2629881,-925.5346975,2.46E-11,0
i0057,CC1CCOC1,0.37,1438.88,-241.4137221,-894.5614948,4.54E-11,1
i0058,COC(C)CC(F)F,0.63,1454.02,-236.7516709,-898.7241683,4.13E-11,1
i0059,CC1OCCO1,0.56,1449.93,-248.4610692,-925.0018384,2.54E-11,0
i0060,CCCOC#N,0.33,1439.9,-242.8218987,-940.6014519,5.87E-11,1
i0061,CC(F)OCC(F)(F)F,0.67,1472.15,-235.4616675,-931.0695936,3.01E-11,0
i0062,CC(C)OC(C)C,0.7,1430.54,-248.7714097,-903.7296616,2.14E-11,0
i0063,COCC(F)F,0.33,1459.7,-243.4237054,-914.0836384,3.07E-11,0
i0064,O=C1NCCO1,0.41,1470.63,-263.3258955,-989.22773,2.41E-11,0
i0065,C=C(OC)OCF,0.56,1454,-246.3236969,-959.3697102,3.09E-11,0
i0066,CCOC(C)C#N,0.41,1439.25,-251.6969411,-963.9831547,1.60E-11,0
i0067,COC(C)CF,0.41,1446.03,-243.2510323,-938.7177343,2.87E-11,0
i0068,CCOC(=O)SOC,0.59,1463.54,-258.6984889,-945.4802239,2.44E-11,0
i0069,CC(F)(F)OCC(F)(F)F,0.56,1481.55,-240.8199899,-967.0296041,3.01E-11,0
i0070,C=C1CCC(CF)O1,0.44,1453.23,-251.1561206,-931.6370565,2.07E-11,0
i0071,COC(=O)CCC(F)F,0.56,1463.13,-245.4735631,-999.9024726,4.11E-11,1
i0072,COCC(F)(F)F,0.48,1469.74,-239.5649456,-897.4686602,4.34E-11,1
i0073,CC1CCCCO1,0.48,1437.86,-241.0084653,-911.5951675,2.96E-11,0
i0074,O=C1OCC(CF)S1,0.3,1483.55,-260.0394368,-967.8401937,2.01E-11,0
i0075,FCC1COC=CO1,0.59,1465.74,-246.6461343,-910.6909102,1.47E-11,0
i0076,CC1(F)COC(=O)O1,0.7,1480.57,-258.0631655,-914.8482427,1.15E-11,0
i0077,COCC=O,0.26,1445.8,-247.2085825,-911.9776788,2.53E-11,0
i0078,CCOC(=O)OC(=O)C(C)C,0.41,1450.96,-253.9770801,-937.5802205,2.05E-11,0
i0079,N#COC=O,0.48,1466.12,-254.7314912,-928.9901622,2.87E-11,0
i0080,CCS(=O)OCF,0.37,1471.82,-247.1337873,-988.2653505,2.23E-11,0
i0081,CC(C)OC=O,0.48,1439.05,-243.6403875,-880.9856221,2.22E-11,0
i0082,CCC(C)S(=O)OC,0.44,1452.31,-250.2960625,-1005.69116,1.60E-11,0
i0083,CC(C)OC#N,0.48,1443.01,-247.1989071,-894.1539806,2.45E-11,0
i0084,COCCC(=O)OC,0.33,1448.61,-247.8227836,-948.5566692,3.93E-11,1
i0085,COC(=O)CC(C)C,0.56,1444.25,-249.1266449,-903.9952154,2.36E-11,0
i0086,COS(=O)OC=CC(F)(F)F,0.56,1490.02,-248.5659729,-958.2228027,2.25E-11,0
i0087,CC1(F)COC(=S)O1,0.48,1483.75,-252.4182444,-913.3092567,1.32E-11,0
i0088,C=C1OCC(F)O1,0.67,1466.57,-249.3799831,-929.0325371,2.28E-11,0
i0089,C=C(OCF)OCF,0.63,1467.16,-240.1623719,-924.7559522,2.74E-11,0
i0090,COS(=O)OC(F)(F)F,0.37,1499.96,-247.3758258,-932.8902608,3.19E-11,0
i0091,FCCCC(F)(F)F,0.44,1469.19,-235.1955356,-934.5268266,3.36E-11,1
i0092,CCOC(C)CF,0.56,1442.48,-243.7931867,-930.5610423,2.47E-11,0
i0093,CC(CF)OC=O,0.59,1455.14,-249.0907476,-921.0865318,2.00E-11,0
i0094,CCOC(=O)F,0.44,1458.72,-247.7907364,-934.9099554,2.02E-11,0
i0095,CC1CC(=O)OC1C,0.56,1449.44,-252.1159411,-916.9371983,2.64E-11,0
i0096,FC(F)(S)C1CCOC1,0.56,1474.84,-248.8997871,-917.8890503,2.18E-11,0
i0097,CC1OC(=O)CC1CF,0.52,1456.29,-250.8370071,-925.2399028,3.99E-11,1
i0098,CCC(OC)OC=O,0.56,1447.93,-246.4203914,-945.3673718,2.45E-11,0
i0099,O=C(OCCF)OC(F)F,0.56,1481.04,-249.6497418,-946.12577,2.20E-11,0
i0101,CC1OCC(F)(F)O1,0.59,1476.76,-246.2462712,-911.9692113,3.22E-11,1
i0102,CCOC(=O)OS(=O)OCC,0.37,1471.71,-255.6908695,-897.2928426,1.36E-11,0
i0103,O=C1CC(C(F)F)CO1,0.52,1474.69,-248.8706745,-964.936765,3.02E-11,0
i0104,COC(=O)OC(C)(F)F,0.56,1476.15,-244.0690288,-908.8135036,3.95E-11,1
i0105,CCC(C)OC(C)=O,0.59,1438.91,-252.1595242,-928.0152463,2.81E-11,0
i0106,CCOC(=O)CC(=O)OC,0.44,1455.71,-256.0809966,-923.7882216,1.57E-11,0
i0107,O=C1CCC(C(F)F)O1,0.56,1478.04,-248.5528845,-956.9184276,2.95E-11,0
i0108,O=C1COCCO1,0.41,1464.08,-252.3274359,-918.529318,2.86E-11,0
i0109,COC(C)COC=O,0.59,1451.02,-249.5360851,-945.1966284,6.81E-11,1
i0110,CC1COCCO1,0.52,1451.56,-250.6587194,-917.7053064,3.66E-11,1
i0113,CC1OCC(F)O1,0.63,1462.29,-249.0094166,-919.2321531,2.32E-11,0
i0114,C=C1CC(F)CO1,0.67,1454.83,-252.2272562,-913.4191821,1.84E-11,0
i0115,CCC(CC)S(C)=O,0.56,1439.03,-244.4030919,-944.0453493,4.92E-11,1
i0116,CC(=O)CCC(F)F,0.59,1458.62,-246.9972638,-956.4279507,2.52E-11,0
i0117,C=C1OCC(F)(F)O1,0.63,1475.23,-250.0318044,-919.7614882,3.19E-11,0
i0118,CCC(=O)OCC(F)F,0.52,1462.3,-250.0723946,-995.4444209,2.03E-11,0
i0119,C=C1OC(F)C(F)O1,0.67,1477.37,-250.536777,-922.976563,1.47E-11,0
i0121,C=C1OCC(CF)O1,0.67,1461.39,-249.7046819,-937.9250236,2.19E-11,0
i0122,CCOCCCF,0.52,1442.5,-238.2946011,-923.2692285,4.54E-11,1
i0123,O=C1CC(CF)CO1,0.48,1462.78,-254.3090578,-946.1676765,1.66E-11,0
i0124,CCCC(CC)S(C)=O,0.56,1444.75,-249.5986221,-948.1827156,2.23E-11,0
i0125,CCOC(=O)OC(F)F,0.52,1472.87,-246.120566,-919.6816993,2.89E-11,0
i0126,FC(F)(F)CCC(F)(F)F,0.41,1482.51,-239.943786,-987.3610347,2.81E-11,0
i0128,C=C1OCC(C(F)(F)F)O1,0.59,1479.7,-246.996291,-952.8634629,3.58E-11,1
i0129,CCOCC#N,0.41,1446.2,-248.9780313,-929.3210264,3.05E-11,0
i0130,CCS(C)=O,0.48,1446.97,-242.4449115,-977.3697514,4.05E-11,1
i0131,C=C(OCF)OC(F)F,0.63,1479.57,-238.3885106,-907.7298176,4.28E-11,1
i0132,CCOC(C)C(F)F,0.63,1452.05,-246.3241405,-944.3722637,2.40E-11,0
i0133,CC1CCC(=O)O1,0.26,1454.36,-251.0447117,-928.824914,2.51E-11,0
i0134,CCOC(=O)CC,0.44,1441.36,-249.6761727,-971.4455537,2.99E-11,0
i0135,C=CCOC(=O)OC,0.59,1452.64,-247.9889515,-986.8590891,2.06E-11,0
i0136,CCC(=O)OCCF,0.63,1448.77,-249.8926286,-985.0210069,3.07E-11,0
i0137,COC(C)OC,0.41,1440.29,-242.8252897,-974.9711483,4.77E-11,1
i0138,COS(=O)OCCC(F)F,0.48,1474.95,-253.7593841,-987.3870615,1.76E-11,0
i0139,CCOC(C)OC,0.41,1437.45,-240.1107991,-944.6526458,3.31E-11,1
i0140,CCCC(=O)OC(=O)OCC,0.37,1451.16,-251.5496713,-890.4081968,2.53E-11,0
i0141,FC1CC=COC1,0.59,1454.33,-246.4488854,-915.7009055,1.93E-11,0
i0142,CC(=O)OCCCF,0.41,1454.21,-249.7619756,-948.7454013,3.42E-11,1
i0143,COS(=O)OC(F)F,0.37,1493.59,-247.7952683,-957.3551263,2.70E-11,0
i0144,CCOC(C)OCF,0.52,1450.24,-247.2220725,-940.2837177,1.48E-11,0
i0145,COS(=O)CCCF,0.44,1464.61,-246.3920562,-992.548583,3.04E-11,0
i0146,C=C1CCC(C)O1,0.48,1443.36,-248.2102874,-918.4026089,2.64E-11,0
i0147,CCCCOCCC,0.52,1433.72,-241.94046,-918.0837478,3.79E-11,1
i0148,O=C1CC(F)C(F)O1,0.56,1483.95,-250.3848013,-930.8490958,3.19E-11,0
i0149,CCCOCCC(F)F,0.52,1452.6,-248.0817018,-935.0847318,2.03E-11,0
i0150,COS(=O)OCC(C)(F)F,0.48,1477.18,-252.7523607,-1023.962003,2.35E-11,0
i0151,COC(=O)OC=CC(F)F,0.52,1472.28,-249.0999915,-967.7313475,2.43E-11,0
i0152,COCC#N,0.48,1444.92,-246.1862303,-904.733662,3.46E-11,1
i0153,CCSC(=O)OC,0.52,1459.72,-251.3016953,-970.0991166,3.51E-11,1
i0154,CCOCC(C)OC,0.44,1440.07,-245.762723,-940.6613917,3.73E-11,1
i0155,CCOS(=O)OCF,0.41,1475.28,-248.6889684,-938.6365874,2.45E-11,0
i0156,CCOS(=O)OCC(F)(F)F,0.44,1486.68,-251.6675112,-995.0781676,2.31E-11,0
i0157,C=C1OC(F)N(F)O1,0.44,1485.77,-251.0927593,-919.8480376,3.10E-11,0
i0160,O=C1CCC(F)(F)O1,0.59,1482.72,-253.1783667,-952.0808834,1.41E-11,0
i0163,COCOC(=O)OC,0.48,1459.72,-253.6574211,-980.7561901,2.92E-11,0
i0164,O=S1OCC(F)O1,0.59,1504.8,-262.1197501,-967.9170802,8.48E-12,0
i0165,COS(=O)OCCCF,0.56,1471.32,-253.5761257,-995.330957,1.72E-11,0
i0166,O=C1CCC(CF)O1,0.37,1464.86,-247.2038646,-941.1759002,2.01E-11,0
i0167,CCCCCCC(F)F,0.7,1439.99,-241.7539964,-915.6121067,3.72E-11,1
i0168,OC(F)(F)COC(F)F,0.52,1491.46,-238.6768975,-955.3554164,3.46E-11,1
i0169,OC1COCO1,0.3,1470.07,-250.1119046,-939.8561112,4.14E-11,1
i0170,CCOC(C)=O,0.44,1445.69,-251.2814543,-946.7876485,3.39E-11,1
i0171,CCOCC(=O)OC,0.41,1448.16,-249.5976847,-951.9785738,2.46E-11,0
i0172,C=C(OC)OC(F)F,0.7,1465.74,-238.5087753,-923.9882668,3.37E-11,1
i0173,COC(C)C(C)C(F)(F)F,0.44,1455.05,-243.1044602,-941.8376417,2.07E-11,0
i0174,FC(F)(F)COC(F)(F)F,0.48,1495.9,-243.1952622,-989.4667223,1.72E-11,0
i0175,COC(C)C(C)C(F)F,0.44,1451.65,-247.0736919,-956.1268235,1.51E-11,0
i0177,CCCC(=O)OC(=O)CCC,0.52,1447.05,-247.7584396,-877.1477948,3.33E-11,1
i0178,O=COC(=O)CC(F)F,0.56,1479.2,-257.0082137,-905.7450364,2.42E-11,0
i0179,CC1CCOS1=O,0.41,1465.72,-252.0012509,-1015.094172,3.21E-11,1
i0180,CC(C)OCC(F)(F)F,0.52,1459.23,-239.4188968,-909.2255909,2.60E-11,0
i0181,COC(C)C(C)CF,0.67,1444.31,-238.5718889,-943.2387454,3.86E-11,1
i0182,C=C1CC(F)C(F)O1,0.63,1464.68,-243.5866352,-905.0619717,4.53E-11,1
i0183,COCOC=O,0.3,1454.58,-245.8225467,-924.1186894,4.99E-11,1
i0184,CC(F)(F)OC(C)(F)F,0.44,1476.21,-245.0672837,-884.5114954,2.55E-11,0
i0185,CCOC(=O)COC,0.41,1451.03,-248.9284073,-918.3595119,3.30E-11,1
i0186,CCCS(C)=O,0.56,1443.75,-247.5870786,-931.2618387,3.08E-11,0
i0187,COCCC#N,0.3,1440.78,-247.4547952,-921.15748,3.40E-11,1
i0188,C=C1OCC(F)(CF)O1,0.7,1472.89,-247.5530821,-917.5298091,3.51E-11,1
i0189,OCOCF,0.26,1460.54,-243.907104,-954.0573594,6.65E-11,1
i0190,CCCCOC(C)F,0.41,1440.72,-247.3710184,-929.0530849,1.59E-11,0
i0191,CC1COC(C)O1,0.44,1448.39,-250.0745661,-921.6301255,1.49E-11,0
i0193,FCC1COCCO1,0.41,1462.73,-244.4373538,-905.8767954,2.48E-11,0
i0194,COS(=O)OCC(F)F,0.48,1483.01,-247.7575645,-1022.189018,2.55E-11,0
i0195,COS(=O)CCF,0.52,1467.07,-242.5438249,-980.8442694,3.80E-11,1
i0196,COC(=O)OC(F)(F)F,0.63,1485.49,-246.525617,-926.035629,2.17E-11,0
i0197,COS(=O)OCCF,0.63,1474.31,-255.8932745,-1024.270761,1.16E-11,0
i0198,CC(=O)OC(C)CF,0.52,1452.03,-247.3197076,-918.625779,2.18E-11,0
i0199,CS(=O)C1CCCCC1,0.44,1448.2,-251.5431436,-952.6971981,1.09E-11,0
i0200,FC1(F)CCOCC1,0.48,1464.54,-244.2881886,-916.6669923,2.78E-11,0
i0201,COC=CC(C)F,0.59,1446.51,-241.954743,-915.3718742,3.09E-11,0
i0202,CCCC(=O)OC(C)C,0.41,1438.76,-250.3748031,-895.9753433,1.91E-11,0
i0203,CCOC(=O)OCO,0.52,1460.29,-245.2023731,-926.529555,2.59E-11,0
i0204,CCOC(=O)C(F)(F)F,0.3,1472.9,-242.7758885,-921.4250924,2.33E-11,0
i0205,C=CCOCCC,0.52,1433.26,-247.7490128,-932.9154952,3.02E-11,0
i0206,CC(=O)OCC(C)F,0.56,1453.43,-253.072396,-958.8777347,1.52E-11,0
i0207,O=S(OCF)OC(F)F,0.44,1501.56,-250.9148141,-930.0049233,2.00E-11,0
i0208,CCC(F)OC,0.48,1445.62,-244.0318159,-968.8274591,4.25E-11,1
i0210,OCSCF,0.48,1469.46,-248.3162091,-948.6490818,2.62E-11,0
i0211,C=C1OCCC(F)O1,0.59,1462.13,-246.9543638,-924.8282235,2.55E-11,0
i0212,CCC(F)OC,0.37,1446.7,-248.3752769,-978.7052819,1.79E-11,0
i0213,COC(=O)C(F)F,0.48,1474.62,-245.9974831,-956.7389184,2.68E-11,0
i0214,CCOC(C)(F)F,0.52,1456.9,-242.5924775,-933.5997649,2.30E-11,0
i0215,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.48,1492.96,-239.2779281,-911.3463788,4.91E-11,1
i0216,CCOC(=O)OCC,0.52,1449.14,-250.4050369,-949.7759894,1.91E-11,0
i0217,COCCS(C)(=O)=O,0.48,1462.89,-246.6553368,-913.6464811,3.06E-11,0
i0218,COC(=O)OCC(F)F,0.52,1475.73,-252.6475277,-1030.340282,2.96E-11,0
i0219,CS(C)(=O)=O,0.33,1465.86,-252.3726846,-925.3471456,3.11E-11,0
i0220,CCCC#N,0.48,1429.92,-242.9647291,-922.5852318,3.10E-11,0
C=C(F)OC,C=C(F)OC,0.56,1445.49,-238.0958405,-951.5666806,2.98E-11,0
C=COCF,C=COCF,0.56,1446.08,-240.8386246,-922.0289563,4.47E-11,1
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,0.44,1442.03,-249.8593849,-833.7197255,2.41E-11,0
CC(=O)OC(C)C,CC(=O)OC(C)C,0.48,1440.47,-252.6350772,-898.4215815,2.32E-11,0
CC(=O)OCC(F)CF,CC(=O)OCC(F)CF,0.33,1463.38,-248.1807662,-959.4663938,2.36E-11,0
CC(=O)OCCC(C)F,CC(=O)OCCC(C)F,0.63,1449.51,-251.2363002,-939.1836499,1.62E-11,0
CC(=O)OCCOC(F)F,CC(=O)OCCOC(F)F,0.56,1466.5,-252.7231031,-964.3504492,1.15E-11,0
CC(C)OC(N)=O,CC(C)OC(N)=O,0.48,1448.04,-250.8742384,-884.5007637,1.66E-11,0
CC(C)OCC=O,CC(C)OCC=O,0.37,1440.68,-254.4012067,-932.3644559,2.34E-11,0
CC(F)(F)OCC(F)F,CC(F)(F)OCC(F)F,0.67,1472.28,-244.4650116,-967.3001826,2.24E-11,0
CC(F)OCF,CC(F)OCF,0.41,1458.51,-242.1874787,-930.9679381,3.56E-11,1
CC(O)OCCCF,CC(O)OCCCF,0.44,1451.23,-243.3968905,-931.1039771,3.41E-11,1
CCC(C)CCOC,CCC(C)CCOC,0.56,1432.84,-244.1453221,-915.8768407,1.69E-11,0
CCC(C)OC(=O)OC,CCC(C)OC(=O)OC,0.48,1450.05,-250.6652551,-959.4469838,2.61E-11,0
CCC(C)OCCF,CCC(C)OCCF,0.52,1440.18,-244.4366598,-942.5921436,3.36E-11,1
CCC(C)OCCOC,CCC(C)OCCOC,0.63,1437.36,-243.0708966,-935.5166687,3.74E-11,1
CCC(CCF)OC,CCC(CCF)OC,0.41,1439.06,-243.1978764,-942.2769418,2.93E-11,0
CCC(F)CCOC,CCC(F)CCOC,0.56,1438.94,-244.1406938,-930.6880531,2.23E-11,0
CCC(F)COC(C)=O,CCC(F)COC(C)=O,0.48,1448.55,-242.7254885,-943.5281314,3.45E-11,1
CCCC(=O)OC(F)F,CCCC(=O)OC(F)F,0.56,1460.48,-251.7018069,-909.16951,3.48E-11,1
CCCC(C)OC,CCCC(C)OC,0.52,1433.73,-249.3907108,-939.0195339,2.84E-11,0
CCCCCOC,CCCCCOC,0.48,1431.09,-240.51796,-910.0347371,3.36E-11,1
CCCCCOCF,CCCCCOCF,0.41,1436.76,-246.525726,-923.691484,2.25E-11,0
CCCCOC(C)(F)F,CCCCOC(C)(F)F,0.52,1445.58,-243.5069466,-927.335954,4.40E-11,1
CCCCOC(C)=O,CCCCOC(C)=O,0.56,1437.77,-249.0753402,-933.8885679,1.30E-11,0
CCCCOC(C)CF,CCCCOC(C)CF,0.52,1440.89,-244.8317771,-926.3123681,3.78E-11,1
CCCCOC(F)F,CCCCOC(F)F,0.48,1451.24,-241.6108624,-915.8792269,4.91E-11,1
CCCCOCC(F)F,CCCCOCC(F)F,0.56,1447.64,-243.6099787,-916.7180842,4.16E-11,1
CCCOC(C)=O,CCCOC(C)=O,0.52,1437.43,-248.5579483,-940.873787,2.39E-11,0
CCCOC(C)CC,CCCOC(C)CC,0.52,1434.85,-249.9404227,-953.2824127,1.46E-11,0
CCCOC(C)OC,CCCOC(C)OC,0.56,1436.32,-246.2130859,-957.0084451,3.47E-11,1
CCCOC=O,CCCOC=O,0.56,1439.02,-250.8747078,-939.9673851,2.46E-11,0
CCCOCC(C)CF,CCCOCC(C)CF,0.67,1438.32,-244.6101546,-933.8557133,3.35E-11,1
CCCOCCC,CCCOCCC,0.56,1429.34,-244.3245606,-928.574892,3.28E-11,1
CCCOCCCF,CCCOCCCF,0.48,1440.21,-247.3613304,-937.8219334,2.50E-11,0
CCOC#N,CCOC#N,0.41,1439.74,-243.7874022,-950.5958522,3.60E-11,1
CCOC(=O)COC(F)F,CCOC(=O)COC(F)F,0.67,1463.03,-247.5213651,-955.6545113,3.16E-11,0
CCOC(=O)COCF,CCOC(=O)COCF,0.33,1455.72,-250.116061,-944.8208607,2.75E-11,0
CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,0.56,1456.38,-249.8374053,-915.7904954,1.70E-11,0
CCOC(=O)OCF,CCOC(=O)OCF,0.48,1461.64,-247.6464562,-949.7523146,4.94E-11,1
CCOC(C)(C)OCF,CCOC(C)(C)OCF,0.48,1445.13,-245.1218855,-919.5574015,2.57E-11,0
CCOC(C)CC,CCOC(C)CC,0.56,1429.92,-242.9800903,-937.3347877,1.96E-11,0
CCOC(C)CCF,CCOC(C)CCF,0.59,1441.79,-244.6354991,-926.8460515,2.79E-11,0
CCOC(C)COC,CCOC(C)COC,0.56,1437.98,-240.0655042,-911.3155859,2.77E-11,0
CCOC(C)OC(C)(F)F,CCOC(C)OC(C)(F)F,0.67,1452.01,-244.2060984,-904.1155367,3.06E-11,0
CCOC(C)OC(F)(F)F,CCOC(C)OC(F)(F)F,0.63,1466.54,-244.4161278,-899.127107,2.48E-11,0
CCOC(C)OC(F)F,CCOC(C)OC(F)F,0.56,1453.57,-242.360487,-908.7793659,3.56E-11,1
CCOC(CC)OC,CCOC(CC)OC,0.37,1435.59,-244.173957,-960.1091478,1.92E-11,0
CCOC(F)(F)C(F)F,CCOC(F)(F)C(F)F,0.63,1469.33,-243.2858846,-931.348425,1.81E-11,0
CCOC(F)C(F)(F)F,CCOC(F)C(F)(F)F,0.56,1469.52,-239.7196508,-915.9484028,3.77E-11,1
CCOC(F)CC(F)F,CCOC(F)CC(F)F,0.59,1462.46,-245.608683,-926.8648951,2.98E-11,0
CCOCC(F)OC(F)F,CCOCC(F)OC(F)F,0.63,1461.97,-243.7962281,-920.2745747,3.38E-11,1
CCOCC(O)OC(F)F,CCOCC(O)OC(F)F,0.37,1463.73,-245.0434682,-928.5771843,2.25E-11,0
CCOCC1OCCO1,CCOCC1OCCO1,0.48,1447.38,-247.171619,-927.3492485,3.23E-11,1
CCOCCC(C)(C)F,CCOCCC(C)(C)F,0.48,1440.78,-241.0948999,-892.5972223,2.10E-11,0
CCOCCC(C)(F)F,CCOCCC(C)(F)F,0.59,1449.18,-240.9111089,-911.4777172,2.65E-11,0
CCOCCC(C)C(F)F,CCOCCC(C)C(F)F,0.52,1447.88,-241.1047871,-927.7263105,3.99E-11,1
CCOCCC(C)CF,CCOCCC(C)CF,0.48,1440.19,-244.2840135,-922.3062534,3.24E-11,1
CCOCCC(F)(F)F,CCOCCC(F)(F)F,0.52,1458.81,-242.102032,-920.9124717,1.34E-11,0
CCOCCC(F)CC,CCOCCC(F)CC,0.48,1439.23,-243.7359485,-936.3199673,2.21E-11,0
CCOCCCC(C)(F)F,CCOCCCC(C)(F)F,0.52,1448.89,-248.1696902,-940.2932649,1.56E-11,0
CCOCCCC(C)F,CCOCCCC(C)F,0.52,1439.71,-244.9692002,-928.8093545,3.31E-11,1
CCOCCCC(F)F,CCOCCCC(F)F,0.56,1449.9,-243.6244092,-934.2081908,2.22E-11,0
CCOCCOC,CCOCCOC,0.59,1432.68,-245.5763202,-928.1830409,5.40E-11,1
CCOCOC(C)O,CCOCOC(C)O,0.48,1444.73,-240.9087154,-898.8374009,3.32E-11,1
CCOCOC(F)(F)F,CCOCOC(F)(F)F,0.56,1467.37,-245.5185632,-927.9719356,2.28E-11,0
CCOS(C)=O,CCOS(C)=O,0.41,1456.1,-245.997411,-934.9741804,4.30E-11,1
COC#N,COC#N,0.41,1445.04,-246.2612476,-1013.695806,4.97E-11,1
